Name,Favorite,Rating,FavChar,Members,Played_anime
Arai Satomi,3634.0,72262.72727272726,3563.1363636363635,23907.44181818182,22000
Asumi Kana,3591.0,70682.421875,1948.4375,16505.696484375,25600
Nozawa Masako,3524.0,67945.93639575972,46195.86572438163,13791.148056537102,28300
Inoue Kazuhiko,3498.0,70826.5664160401,25001.60401002506,18595.272431077694,39900
Hino Satoshi,3461.0,71128.38196286472,10931.273209549072,29312.878514588858,37700
Tanaka Rie,3407.0,72095.3781512605,1877.0168067226891,15440.368067226891,23800
Mimori Suzuko,3400.0,68172.64573991031,2265.8744394618834,10764.323766816146,22300
Oosaka Ryouta,3214.0,70475.62724014337,2560.860215053763,31266.981720430107,27900
Anzai Chika,3116.0,70526.19047619047,3890.2380952380954,26426.061904761907,12600
Itou Kanae,3103.0,70045.79439252337,4755.233644859813,21058.794859813086,21400
Ootani Ikue,3073.0,70141.06145251397,19342.988826815643,12827.53966480447,35800
Han Megumi,3069.0,71235.9649122807,6051.622807017544,31627.425000000003,22800
Ueda Kana,3042.0,70878.22878228783,28594.907749077494,19280.26900369004,27100
Hanamori Yumiri,3041.0,67438.92215568862,6421.197604790419,23960.22275449102,16700
Hidaka Rina,3005.0,69726.6917293233,2592.105263157895,25043.11315789474,26600
Komatsu Mikako,2969.0,70628.32764505119,4034.8464163822523,23976.953924914676,29300
Satou Rina,2964.0,71283.92370572206,9452.043596730246,16540.017166212532,36700
Ogura Yui,2833.0,66716.92307692308,739.6410256410256,17617.54153846154,19500
Hayami Show,2821.0,70544.61152882206,1757.6691729323309,17855.48822055138,39900
Satou Satomi,2809.0,72534.57943925234,5431.308411214954,29307.91401869159,21400
Chihara Minori,2804.0,70397.10144927536,5776.159420289855,18385.30652173913,13800
Kusunoki Tomori,2779.0,65250.0,9817.916666666666,14106.004166666666,7200
Enoki Junya,2767.0,67841.08108108108,4287.945945945946,23061.556216216217,18500
Hirata Hiroaki,2751.0,72693.69369369368,51490.045045045044,26626.17387387388,22200
Morita Masakazu,2723.0,71646.42857142857,32137.428571428572,20716.420714285716,14000
Hondo Kaede,2690.0,67472.83950617284,1446.9135802469136,23339.363580246914,16200
Iguchi Yuka,2647.0,69964.15770609319,2034.4802867383512,21438.11612903226,27900
Tachiki Fumihiko,2636.0,72640.2027027027,6378.885135135135,24417.986148648648,29600
Takagi Wataru,2584.0,72931.04395604396,5644.395604395604,17165.2989010989,36400
Kuroda Takaya,2575.0,72184.09090909091,278.0113636363636,27384.67954545455,17600
Omigawa Chiaki,2499.0,73166.66666666667,1921.5942028985505,21855.87391304348,6900
Toyonaga Toshiyuki,2419.0,68909.44444444444,1796.6666666666665,21862.82277777778,18000
Kuno Misaki,2400.0,69230.11363636363,1530.625,21979.73181818182,17600
Katou Emiri,2332.0,69486.58536585365,5640.284552845528,21454.441463414638,24600
Ichimichi Mao,2329.0,68944.52554744526,1351.6788321167883,24059.555474452558,27400
Kino Hina,2248.0,67328.98550724638,1035.2173913043478,21478.539130434787,6900
Hirakawa Daisuke,2230.0,69557.25490196078,1519.5686274509806,19470.29333333333,25500
Ishizuka Unshou,2225.0,72098.2683982684,3371.9913419913423,20482.599134199136,46200
Mitsuishi Kotono,2214.0,71548.95833333334,8516.5625,17935.770833333336,28800
Toriumi Kousuke,2169.0,70716.04010025063,1987.8195488721803,21448.52857142857,39900
Naganawa Maria,2156.0,64800.00000000001,10441.184210526317,15817.218421052632,7600
Tomita Miyu,2116.0,67970.0,4698.0,21857.836923076924,13000
Uchida Naoya,2116.0,73627.67857142857,6718.392857142857,25983.9625,11200
Hiyama Nobuyuki,2094.0,71964.22535211267,1881.2394366197182,20976.355492957748,35500
Oonishi Saori,2034.0,68401.4778325123,5118.620689655173,23142.884236453203,20300
Shiraishi Minoru,2016.0,69534.54545454546,899.9090909090909,18041.154545454545,11000
Chiba Shouya,2005.0,68506.15384615386,22514.307692307695,28440.420000000002,6500
Hara Yumi,1937.0,70690.80459770115,20856.55172413793,18856.74712643678,8700
Grelle Jessie James,1924.0,74465.16853932584,12638.960674157304,47629.42893258427,35600
Orikasa Fumiko,1906.0,73241.86046511628,5718.039867109635,20907.52657807309,30100
Ono Yuuki,1903.0,69154.74137931035,2592.3706896551726,22876.331034482762,23200
Inoue Kikuko,1850.0,71073.22515212982,593.2251521298174,17797.239148073026,49300
Morikubo Shoutarou,1844.0,70340.0,12184.758620689656,16947.104137931034,29000
Yukana,1826.0,71192.88389513108,16033.932584269662,17143.388014981272,26700
Uemura Yuuto,1811.0,71835.86956521739,17419.891304347824,32613.89891304348,9200
Kajiwara Gakuto,1798.0,69443.28358208954,12531.044776119405,29594.428358208956,6700
Yukino Satsuki,1766.0,73769.92753623189,5173.297101449275,22734.340942028986,27600
Miyake Kenta,1760.0,71911.81818181818,3882.1590909090905,31047.897954545457,44000
Kanemoto Hisako,1727.0,71509.81818181818,2501.9636363636364,22769.591636363635,27500
Nanjou Yoshino,1719.0,67437.81512605042,1507.3949579831933,11002.335294117649,11900
Kotobuki Minako,1717.0,71107.10659898477,3451.6751269035535,18654.858883248733,19700
Ichinose Kana,1686.0,68505.47945205479,6392.876712328767,28679.995890410963,7300
KENN,1639.0,69533.93939393939,1477.2727272727273,19805.068484848485,16500
Yao Kazuki,1638.0,71645.1282051282,6855.48717948718,20805.778461538463,19500
Sakaguchi Daisuke,1637.9961240310076,72072.86821705426,4407.635658914729,20546.202713178296,25800
Okiayu Ryoutarou,1610.0,70225.82781456954,2842.1633554083883,16432.611258278146,45300
Aoi Shouta,1590.0,65103.19148936171,508.6170212765958,8163.782978723405,9400
Toyoguchi Megumi,1586.0,71800.35842293907,5247.240143369176,21480.31577060932,27900
Oozora Naomi,1579.0,67590.58823529411,1846.5882352941176,12092.52823529412,8500
Masuda Toshiki,1571.0,69548.36956521739,6300.326086956521,23855.670652173914,18400
Yasuno Kiyono,1570.0,71403.57142857143,5536.517857142857,24146.54285714286,11200
